,num_female,num_male,num_other,num_unknown,num_total,ratio_female,male_female_difference
242118,1,5,0,1,7,0.14285714285714285,0.5714285714285714
60569,1,5,0,1,7,0.14285714285714285,0.5714285714285714
96954,1,5,0,1,7,0.14285714285714285,0.5714285714285714
177040,3,11,0,0,14,0.21428571428571427,0.5714285714285714
30985,4,16,0,1,21,0.19047619047619047,0.5714285714285714
119725,0,20,0,15,35,0.0,0.5714285714285714
57234,3,11,0,0,14,0.21428571428571427,0.5714285714285714
82808,0,4,0,3,7,0.0,0.5714285714285714
160434,1,5,0,1,7,0.14285714285714285,0.5714285714285714
172613,1,5,0,1,7,0.14285714285714285,0.5714285714285714
45315,4,16,0,1,21,0.19047619047619047,0.5714285714285714
72190,1,5,0,1,7,0.14285714285714285,0.5714285714285714
195469,3,11,0,0,14,0.21428571428571427,0.5714285714285714
82699,1,5,0,1,7,0.14285714285714285,0.5714285714285714
154781,1,5,0,1,7,0.14285714285714285,0.5714285714285714
204822,1,5,0,1,7,0.14285714285714285,0.5714285714285714
207246,3,15,0,3,21,0.14285714285714285,0.5714285714285714
69252,1,5,0,1,7,0.14285714285714285,0.5714285714285714
246766,1,5,0,1,7,0.14285714285714285,0.5714285714285714
25216,1,5,0,1,7,0.14285714285714285,0.5714285714285714
5728,1,5,0,1,7,0.14285714285714285,0.5714285714285714
93085,1,5,0,1,7,0.14285714285714285,0.5714285714285714
147803,0,4,0,3,7,0.0,0.5714285714285714
82942,1,5,0,1,7,0.14285714285714285,0.5714285714285714
118434,0,4,0,3,7,0.0,0.5714285714285714
18095,1,5,0,1,7,0.14285714285714285,0.5714285714285714
272202,1,5,0,1,7,0.14285714285714285,0.5714285714285714
179791,2,21,0,10,33,0.06060606060606061,0.5757575757575758
101606,11,44,0,2,57,0.19298245614035087,0.5789473684210527
23511,4,15,0,0,19,0.21052631578947367,0.5789473684210527
20201,4,15,0,0,19,0.21052631578947367,0.5789473684210527
272225,4,15,0,0,19,0.21052631578947367,0.5789473684210527
79089,2,9,0,1,12,0.16666666666666666,0.5833333333333334
174848,2,9,0,1,12,0.16666666666666666,0.5833333333333334
28865,2,9,0,1,12,0.16666666666666666,0.5833333333333334
164728,5,19,0,0,24,0.20833333333333334,0.5833333333333334
231351,5,21,0,1,27,0.18518518518518517,0.5925925925925926
225986,4,20,0,3,27,0.14814814814814814,0.5925925925925926
270838,5,21,0,1,27,0.18518518518518517,0.5925925925925926
96440,6,25,0,1,32,0.1875,0.59375
70594,9,43,0,5,57,0.15789473684210525,0.5964912280701754
229899,1,4,0,0,5,0.2,0.6
122671,1,4,0,0,5,0.2,0.6
250219,1,4,0,0,5,0.2,0.6
189789,0,3,0,2,5,0.0,0.6
21708,1,4,0,0,5,0.2,0.6
80075,1,4,0,0,5,0.2,0.6
8089,1,4,0,0,5,0.2,0.6
146641,1,4,0,0,5,0.2,0.6
20032,1,4,0,0,5,0.2,0.6
33270,1,4,0,0,5,0.2,0.6
114452,1,4,0,0,5,0.2,0.6
79754,1,4,0,0,5,0.2,0.6
100984,1,4,0,0,5,0.2,0.6
228652,1,4,0,0,5,0.2,0.6
79366,1,4,0,0,5,0.2,0.6
145887,1,4,0,0,5,0.2,0.6
144632,1,4,0,0,5,0.2,0.6
123115,1,4,0,0,5,0.2,0.6
240111,1,4,0,0,5,0.2,0.6
78719,2,8,0,0,10,0.2,0.6
188878,1,4,0,0,5,0.2,0.6
145218,1,4,0,0,5,0.2,0.6
78229,1,4,0,0,5,0.2,0.6
78007,1,4,0,0,5,0.2,0.6
239609,1,4,0,0,5,0.2,0.6
229448,1,4,0,0,5,0.2,0.6
137968,1,4,0,0,5,0.2,0.6
34932,1,7,0,2,10,0.1,0.6
271284,1,4,0,0,5,0.2,0.6
203973,1,4,0,0,5,0.2,0.6
79055,1,4,0,0,5,0.2,0.6
253403,0,3,0,2,5,0.0,0.6
270211,1,4,0,0,5,0.2,0.6
270829,1,4,0,0,5,0.2,0.6
68767,1,4,0,0,5,0.2,0.6
143009,1,4,0,0,5,0.2,0.6
72742,1,4,0,0,5,0.2,0.6
236618,1,4,0,0,5,0.2,0.6
257777,1,4,0,0,5,0.2,0.6
68984,5,20,0,0,25,0.2,0.6
200993,0,3,0,2,5,0.0,0.6
236235,1,4,0,0,5,0.2,0.6
71831,1,4,0,0,5,0.2,0.6
196050,1,4,0,0,5,0.2,0.6
196052,3,12,0,0,15,0.2,0.6
267680,1,4,0,0,5,0.2,0.6
269308,1,4,0,0,5,0.2,0.6
119326,1,4,0,0,5,0.2,0.6
117092,1,4,0,0,5,0.2,0.6
117396,1,4,0,0,5,0.2,0.6
199095,1,4,0,0,5,0.2,0.6
269114,1,4,0,0,5,0.2,0.6
196317,1,4,0,0,5,0.2,0.6
141210,1,4,0,0,5,0.2,0.6
118659,1,4,0,0,5,0.2,0.6
38661,1,4,0,0,5,0.2,0.6
71181,1,4,0,0,5,0.2,0.6
5209,1,4,0,0,5,0.2,0.6
165516,1,4,0,0,5,0.2,0.6
38081,1,4,0,0,5,0.2,0.6
252233,1,4,0,0,5,0.2,0.6
118135,2,8,0,0,10,0.2,0.6
70918,1,4,0,0,5,0.2,0.6
118320,2,8,0,0,10,0.2,0.6
196113,1,4,0,0,5,0.2,0.6
194273,1,4,0,0,5,0.2,0.6
201593,1,4,0,0,5,0.2,0.6
236955,1,4,0,0,5,0.2,0.6
190480,1,4,0,0,5,0.2,0.6
203017,2,8,0,0,10,0.2,0.6
35925,1,4,0,0,5,0.2,0.6
102189,1,4,0,0,5,0.2,0.6
238607,1,4,0,0,5,0.2,0.6
116249,1,4,0,0,5,0.2,0.6
41667,1,4,0,0,5,0.2,0.6
230878,1,4,0,0,5,0.2,0.6
3329,1,4,0,0,5,0.2,0.6
36103,1,4,0,0,5,0.2,0.6
36141,1,4,0,0,5,0.2,0.6
16943,0,3,0,2,5,0.0,0.6
120181,1,4,0,0,5,0.2,0.6
159455,1,4,0,0,5,0.2,0.6
267334,1,4,0,0,5,0.2,0.6
202147,1,4,0,0,5,0.2,0.6
68000,1,4,0,0,5,0.2,0.6
232107,1,4,0,0,5,0.2,0.6
74571,1,4,0,0,5,0.2,0.6
232067,2,8,0,0,10,0.2,0.6
193740,1,4,0,0,5,0.2,0.6
193156,1,4,0,0,5,0.2,0.6
75777,1,4,0,0,5,0.2,0.6
138425,1,4,0,0,5,0.2,0.6
68383,2,8,0,0,10,0.2,0.6
75787,1,4,0,0,5,0.2,0.6
192696,1,4,0,0,5,0.2,0.6
270069,2,8,0,0,10,0.2,0.6
201829,1,4,0,0,5,0.2,0.6
270121,1,4,0,0,5,0.2,0.6
76001,1,4,0,0,5,0.2,0.6
139706,1,4,0,0,5,0.2,0.6
251362,1,4,0,0,5,0.2,0.6
61354,1,4,0,0,5,0.2,0.6
64396,2,8,0,0,10,0.2,0.6
250494,1,4,0,0,5,0.2,0.6
260473,1,4,0,0,5,0.2,0.6
215753,1,4,0,0,5,0.2,0.6
254486,1,4,0,0,5,0.2,0.6
127036,0,3,0,2,5,0.0,0.6
275520,2,8,0,0,10,0.2,0.6
56623,1,4,0,0,5,0.2,0.6
95353,0,3,0,2,5,0.0,0.6
246388,1,4,0,0,5,0.2,0.6
126824,1,4,0,0,5,0.2,0.6
222788,1,4,0,0,5,0.2,0.6
246246,1,4,0,0,5,0.2,0.6
277922,1,4,0,0,5,0.2,0.6
219530,1,4,0,0,5,0.2,0.6
154021,1,4,0,0,5,0.2,0.6
56905,1,4,0,0,5,0.2,0.6
133738,2,8,0,0,10,0.2,0.6
186533,1,4,0,0,5,0.2,0.6
86368,1,4,0,0,5,0.2,0.6
95781,1,4,0,0,5,0.2,0.6
223714,1,4,0,0,5,0.2,0.6
86419,1,4,0,0,5,0.2,0.6
223608,1,4,0,0,5,0.2,0.6
174322,1,4,0,0,5,0.2,0.6
108763,1,4,0,0,5,0.2,0.6
49392,2,8,0,0,10,0.2,0.6
177195,1,4,0,0,5,0.2,0.6
88299,1,4,0,0,5,0.2,0.6
28257,1,4,0,0,5,0.2,0.6
162840,1,4,0,0,5,0.2,0.6
250851,1,4,0,0,5,0.2,0.6
108700,1,4,0,0,5,0.2,0.6
161870,1,4,0,0,5,0.2,0.6
158103,2,8,0,0,10,0.2,0.6
254754,1,4,0,0,5,0.2,0.6
217496,1,4,0,0,5,0.2,0.6
217673,1,4,0,0,5,0.2,0.6
102154,1,4,0,0,5,0.2,0.6
24733,1,4,0,0,5,0.2,0.6
54624,1,4,0,0,5,0.2,0.6
94213,1,4,0,0,5,0.2,0.6
55097,1,4,0,0,5,0.2,0.6
169727,1,4,0,0,5,0.2,0.6
169465,1,4,0,0,5,0.2,0.6
157594,0,3,0,2,5,0.0,0.6
276563,1,4,0,0,5,0.2,0.6
255289,1,4,0,0,5,0.2,0.6
162014,1,4,0,0,5,0.2,0.6
53408,1,4,0,0,5,0.2,0.6
24186,2,8,0,0,10,0.2,0.6
178587,1,4,0,0,5,0.2,0.6
217270,1,4,0,0,5,0.2,0.6
102130,1,4,0,0,5,0.2,0.6
127389,1,4,0,0,5,0.2,0.6
216260,1,4,0,0,5,0.2,0.6
102019,1,4,0,0,5,0.2,0.6
92278,1,4,0,0,5,0.2,0.6
51826,0,3,0,2,5,0.0,0.6
155343,1,4,0,0,5,0.2,0.6
220945,1,4,0,0,5,0.2,0.6
216557,1,4,0,0,5,0.2,0.6
171999,1,4,0,0,5,0.2,0.6
55487,1,7,0,2,10,0.1,0.6
248131,1,4,0,0,5,0.2,0.6
216955,1,4,0,0,5,0.2,0.6
221050,1,4,0,0,5,0.2,0.6
171045,2,8,0,0,10,0.2,0.6
92693,1,4,0,0,5,0.2,0.6
152136,1,4,0,0,5,0.2,0.6
161385,1,4,0,0,5,0.2,0.6
109562,0,3,0,2,5,0.0,0.6
185497,1,4,0,0,5,0.2,0.6
265194,1,4,0,0,5,0.2,0.6
185071,1,4,0,0,5,0.2,0.6
45564,1,4,0,0,5,0.2,0.6
19659,1,4,0,0,5,0.2,0.6
184990,0,3,0,2,5,0.0,0.6
80826,2,8,0,0,10,0.2,0.6
46154,1,4,0,0,5,0.2,0.6
184918,1,4,0,0,5,0.2,0.6
184684,1,4,0,0,5,0.2,0.6
148157,1,4,0,0,5,0.2,0.6
272890,1,4,0,0,5,0.2,0.6
1435,4,16,0,0,20,0.2,0.6
1412,1,4,0,0,5,0.2,0.6
242083,18,78,0,4,100,0.18,0.6
272233,1,4,0,0,5,0.2,0.6
113602,1,4,0,0,5,0.2,0.6
45078,1,4,0,0,5,0.2,0.6
113966,1,4,0,0,5,0.2,0.6
205963,1,4,0,0,5,0.2,0.6
64241,2,8,0,0,10,0.2,0.6
256874,1,4,0,0,5,0.2,0.6
137397,1,4,0,0,5,0.2,0.6
8487,1,4,0,0,5,0.2,0.6
19972,1,4,0,0,5,0.2,0.6
113657,2,8,0,0,10,0.2,0.6
2041,1,4,0,0,5,0.2,0.6
101091,1,4,0,0,5,0.2,0.6
206877,1,4,0,0,5,0.2,0.6
265383,1,4,0,0,5,0.2,0.6
265313,9,42,0,4,55,0.16363636363636364,0.6
241513,1,4,0,0,5,0.2,0.6
276681,1,4,0,0,5,0.2,0.6
225989,2,8,0,0,10,0.2,0.6
152036,1,4,0,0,5,0.2,0.6
38281,7,28,0,0,35,0.2,0.6
242458,1,4,0,0,5,0.2,0.6
124769,1,4,0,0,5,0.2,0.6
48995,1,4,0,0,5,0.2,0.6
262666,1,4,0,0,5,0.2,0.6
29056,1,4,0,0,5,0.2,0.6
29101,1,4,0,0,5,0.2,0.6
179532,1,4,0,0,5,0.2,0.6
135141,1,4,0,0,5,0.2,0.6
262974,1,7,0,2,10,0.1,0.6
29424,1,4,0,0,5,0.2,0.6
151370,1,4,0,0,5,0.2,0.6
110112,2,8,0,0,10,0.2,0.6
47975,1,4,0,0,5,0.2,0.6
167494,2,8,0,0,10,0.2,0.6
179885,1,4,0,0,5,0.2,0.6
81578,1,4,0,0,5,0.2,0.6
111536,1,4,0,0,5,0.2,0.6
112507,1,4,0,0,5,0.2,0.6
30445,2,8,0,0,10,0.2,0.6
46461,1,4,0,0,5,0.2,0.6
111938,1,4,0,0,5,0.2,0.6
209833,1,4,0,0,5,0.2,0.6
182931,1,4,0,0,5,0.2,0.6
123732,1,4,0,0,5,0.2,0.6
82720,1,4,0,0,5,0.2,0.6
149259,1,4,0,0,5,0.2,0.6
183740,1,4,0,0,5,0.2,0.6
46690,1,4,0,0,5,0.2,0.6
1129,1,4,0,0,5,0.2,0.6
242637,1,4,0,0,5,0.2,0.6
81672,1,4,0,0,5,0.2,0.6
201768,3,14,0,1,18,0.16666666666666666,0.6111111111111112
115435,12,50,0,0,62,0.1935483870967742,0.6129032258064516
96744,5,21,0,0,26,0.19230769230769232,0.6153846153846154
175254,2,10,0,1,13,0.15384615384615385,0.6153846153846154
249953,2,10,0,1,13,0.15384615384615385,0.6153846153846154
107326,5,21,0,0,26,0.19230769230769232,0.6153846153846154
268030,4,20,0,2,26,0.15384615384615385,0.6153846153846154
128033,2,10,0,1,13,0.15384615384615385,0.6153846153846154
52175,2,10,0,1,13,0.15384615384615385,0.6153846153846154
213316,2,10,0,1,13,0.15384615384615385,0.6153846153846154
185176,6,27,0,1,34,0.17647058823529413,0.6176470588235294
126492,18,80,0,2,100,0.18,0.62
244171,5,23,0,1,29,0.1724137931034483,0.6206896551724138
75819,8,36,0,1,45,0.17777777777777778,0.6222222222222222
153091,1,6,0,1,8,0.125,0.625
95010,3,13,0,0,16,0.1875,0.625
81609,1,6,0,1,8,0.125,0.625
164926,3,13,0,0,16,0.1875,0.625
81855,1,6,0,1,8,0.125,0.625
37235,1,6,0,1,8,0.125,0.625
1211,0,5,0,3,8,0.0,0.625
106131,1,6,0,1,8,0.125,0.625
87949,3,13,0,0,16,0.1875,0.625
248098,3,13,0,0,16,0.1875,0.625
191883,1,6,0,1,8,0.125,0.625
76530,4,19,0,1,24,0.16666666666666666,0.625
185154,1,6,0,1,8,0.125,0.625
166017,1,6,0,1,8,0.125,0.625
208451,1,6,0,1,8,0.125,0.625
103315,1,6,0,1,8,0.125,0.625
115224,1,6,0,1,8,0.125,0.625
127648,0,5,0,3,8,0.0,0.625
94730,1,6,0,1,8,0.125,0.625
92215,1,6,0,1,8,0.125,0.625
17894,0,5,0,3,8,0.0,0.625
219208,0,5,0,3,8,0.0,0.625
152645,3,15,0,1,19,0.15789473684210525,0.631578947368421
111944,5,24,0,1,30,0.16666666666666666,0.6333333333333333
246759,5,24,0,1,30,0.16666666666666666,0.6333333333333333
104051,2,9,0,0,11,0.18181818181818182,0.6363636363636364
178797,1,8,0,2,11,0.09090909090909091,0.6363636363636364
54884,2,9,0,0,11,0.18181818181818182,0.6363636363636364
26553,2,9,0,0,11,0.18181818181818182,0.6363636363636364
245157,2,9,0,0,11,0.18181818181818182,0.6363636363636364
93358,2,9,0,0,11,0.18181818181818182,0.6363636363636364
254053,2,9,0,0,11,0.18181818181818182,0.6363636363636364
70864,2,9,0,0,11,0.18181818181818182,0.6363636363636364
228351,2,9,0,0,11,0.18181818181818182,0.6363636363636364
138995,5,26,0,2,33,0.15151515151515152,0.6363636363636364
62958,2,9,0,0,11,0.18181818181818182,0.6363636363636364
230293,2,9,0,0,11,0.18181818181818182,0.6363636363636364
235498,2,9,0,0,11,0.18181818181818182,0.6363636363636364
179327,2,9,0,0,11,0.18181818181818182,0.6363636363636364
144910,2,9,0,0,11,0.18181818181818182,0.6363636363636364
217318,13,75,0,9,97,0.13402061855670103,0.6391752577319587
172760,2,18,0,5,25,0.08,0.64
40330,3,14,0,0,17,0.17647058823529413,0.6470588235294118
92652,2,13,0,2,17,0.11764705882352941,0.6470588235294118
135703,3,16,0,1,20,0.15,0.65
51526,4,19,0,0,23,0.17391304347826086,0.6521739130434783
140223,4,21,1,0,26,0.15384615384615385,0.6538461538461539
36256,4,21,0,1,26,0.15384615384615385,0.6538461538461539
259901,6,29,0,0,35,0.17142857142857143,0.6571428571428571
77480,4,29,0,5,38,0.10526315789473684,0.6578947368421053
181956,1,5,0,0,6,0.16666666666666666,0.6666666666666666
29419,1,5,0,0,6,0.16666666666666666,0.6666666666666666
65183,1,5,0,0,6,0.16666666666666666,0.6666666666666666
212109,1,5,0,0,6,0.16666666666666666,0.6666666666666666
225002,1,5,0,0,6,0.16666666666666666,0.6666666666666666
182838,3,15,0,0,18,0.16666666666666666,0.6666666666666666
254064,1,5,0,0,6,0.16666666666666666,0.6666666666666666
30749,1,5,0,0,6,0.16666666666666666,0.6666666666666666
266054,1,5,0,0,6,0.16666666666666666,0.6666666666666666
16551,1,5,0,0,6,0.16666666666666666,0.6666666666666666
175117,1,7,0,1,9,0.1111111111111111,0.6666666666666666
16046,1,5,0,0,6,0.16666666666666666,0.6666666666666666
2287,1,5,0,0,6,0.16666666666666666,0.6666666666666666
2288,1,5,0,0,6,0.16666666666666666,0.6666666666666666
213312,1,5,0,0,6,0.16666666666666666,0.6666666666666666
258520,1,5,0,0,6,0.16666666666666666,0.6666666666666666
239801,0,6,0,3,9,0.0,0.6666666666666666
275732,1,5,0,0,6,0.16666666666666666,0.6666666666666666
22503,0,4,0,2,6,0.0,0.6666666666666666
224626,1,5,0,0,6,0.16666666666666666,0.6666666666666666
137803,1,5,0,0,6,0.16666666666666666,0.6666666666666666
51386,1,5,0,0,6,0.16666666666666666,0.6666666666666666
123160,1,5,0,0,6,0.16666666666666666,0.6666666666666666
129338,3,15,0,0,18,0.16666666666666666,0.6666666666666666
85433,1,7,0,1,9,0.1111111111111111,0.6666666666666666
150890,1,5,0,0,6,0.16666666666666666,0.6666666666666666
90657,2,10,0,0,12,0.16666666666666666,0.6666666666666666
65497,1,5,0,0,6,0.16666666666666666,0.6666666666666666
174625,1,5,0,0,6,0.16666666666666666,0.6666666666666666
174918,1,5,0,0,6,0.16666666666666666,0.6666666666666666
277639,2,10,0,0,12,0.16666666666666666,0.6666666666666666
222677,1,5,0,0,6,0.16666666666666666,0.6666666666666666
134784,1,5,0,0,6,0.16666666666666666,0.6666666666666666
123228,1,5,0,0,6,0.16666666666666666,0.6666666666666666
87155,1,5,0,0,6,0.16666666666666666,0.6666666666666666
227295,0,4,0,2,6,0.0,0.6666666666666666
8570,1,5,0,0,6,0.16666666666666666,0.6666666666666666
62239,1,5,0,0,6,0.16666666666666666,0.6666666666666666
88416,1,7,0,1,9,0.1111111111111111,0.6666666666666666
124322,1,5,0,0,6,0.16666666666666666,0.6666666666666666
163169,1,5,0,0,6,0.16666666666666666,0.6666666666666666
101214,1,5,0,0,6,0.16666666666666666,0.6666666666666666
57302,1,5,0,0,6,0.16666666666666666,0.6666666666666666
57369,1,5,0,0,6,0.16666666666666666,0.6666666666666666
60977,1,5,0,0,6,0.16666666666666666,0.6666666666666666
61759,1,5,0,0,6,0.16666666666666666,0.6666666666666666
242247,1,5,0,0,6,0.16666666666666666,0.6666666666666666
134120,1,5,0,0,6,0.16666666666666666,0.6666666666666666
81368,2,14,0,2,18,0.1111111111111111,0.6666666666666666
158846,2,12,0,1,15,0.13333333333333333,0.6666666666666666
207134,1,5,0,0,6,0.16666666666666666,0.6666666666666666
242763,1,5,0,0,6,0.16666666666666666,0.6666666666666666
43901,1,5,0,0,6,0.16666666666666666,0.6666666666666666
89507,1,9,0,2,12,0.08333333333333333,0.6666666666666666
133418,1,5,0,0,6,0.16666666666666666,0.6666666666666666
265553,3,15,0,0,18,0.16666666666666666,0.6666666666666666
264464,1,5,0,0,6,0.16666666666666666,0.6666666666666666
163302,1,5,0,0,6,0.16666666666666666,0.6666666666666666
163194,1,5,0,0,6,0.16666666666666666,0.6666666666666666
80642,2,10,0,0,12,0.16666666666666666,0.6666666666666666
12348,1,5,0,0,6,0.16666666666666666,0.6666666666666666
56917,1,5,0,0,6,0.16666666666666666,0.6666666666666666
134264,1,5,0,0,6,0.16666666666666666,0.6666666666666666
225617,1,5,0,0,6,0.16666666666666666,0.6666666666666666
108392,1,5,0,0,6,0.16666666666666666,0.6666666666666666
245616,1,5,0,0,6,0.16666666666666666,0.6666666666666666
242891,1,5,0,0,6,0.16666666666666666,0.6666666666666666
101731,2,12,0,1,15,0.13333333333333333,0.6666666666666666
96194,1,5,0,0,6,0.16666666666666666,0.6666666666666666
189474,2,10,0,0,12,0.16666666666666666,0.6666666666666666
119418,1,5,0,0,6,0.16666666666666666,0.6666666666666666
159946,1,5,0,0,6,0.16666666666666666,0.6666666666666666
93518,1,5,0,0,6,0.16666666666666666,0.6666666666666666
119654,1,5,0,0,6,0.16666666666666666,0.6666666666666666
236840,1,7,0,1,9,0.1111111111111111,0.6666666666666666
